time_index,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
0,,0,,,,
1,,0.000220042,,,,
2,,0.000436948,,,,
3,,0.00065072,,,,
4,,0.000861356,,,,
5,,0.001068857,,,,
6,,0.001434663,,,,
7,,0.001662868,,,,
8,,0.001984378,,,,
9,,0.002135203,,,,
10,,0.002366628,,,,
11,,0.002586745,,,,
12,,0.002857182,0,,,
13,,0.003153464,0.000305921,,,
14,,0.003538391,0.000617513,,,
15,,0.003934717,0.000431492,,,
16,,0.004559479,0.000605789,,,
17,,0.005329414,0.000639125,,,
18,,0.006101144,0.000905455,,,
19,,0.007000698,0.000890452,,,
20,,0.007312958,0.001160796,,,
21,,0.007162916,0.001479643,,,
22,,0.007350315,0.001845803,,,
23,,0.007442129,0.002072911,,,
24,,0.008130277,0.002434536,,,
25,,0.008721616,0.002757972,,,
26,,0.008730646,0.003170148,,,
27,,0.008074506,0.003635763,,,
28,,0.006983123,0.004119726,,,
29,,0.006741471,0.004726248,,,
30,,0.006471998,0.005558162,,,
31,,0.006369344,0.006720114,,,
32,,0.006429529,0.008388135,,,
33,,0.006692475,0.010667434,,,
34,,0.007069317,0.012731213,,,
35,,0.006938241,0.015094595,,,
36,,0.007115668,0.019306042,,,
37,,0.007194829,0.02510144,,,
38,,0.006950658,0.032421038,,,
39,,0.007502063,0.041481846,,,
40,,0.007917607,0.058129818,,,
41,0,0.008295398,inf,0,0,
42,0.000153457,0.00946379,0.103427701,0.000423226,0.00033853,
43,0.000310613,0.010043022,inf,0.000855884,0.000671616,
44,0.001091894,0.009881678,0.407196534,0.000732711,0.000646249,
45,0.001541546,0.009715111,inf,0.001165747,0.000814026,
46,0.002147349,0.009406319,inf,0.001625556,0.001030162,
47,0.002980692,0.009092114,inf,0.002218685,0.001453877,
48,0.003411365,0.008161142,inf,0.002259431,0.0016214,
49,0.004163488,0.007407594,inf,0.002854581,0.00209699,0
50,0.004941228,0.007470623,inf,0.003435366,0.002286355,0.000362156
51,0.005342677,0.007744287,0.589301924,0.003735477,0.002209172,0.000716516
52,0.005894871,0.008314057,inf,0.00426574,0.002660838,0.001063229
53,0.00648499,0.008144184,inf,0.004492601,0.002827526,0.001394852
54,0.007065899,0.008712193,inf,0.005016589,0.003009627,0.001709379
55,0.00756676,0.009007884,0.413582102,0.005577658,0.002960736,0.002029101
56,0.007443355,0.008543782,inf,0.005809756,0.003318207,0.002320024
57,0.00743619,0.008381205,inf,0.004260655,0.002669568,0.000597918
58,0.006693919,0.007630662,inf,0.00299603,0.002488963,0.000694864
59,0.007415313,0.007167111,inf,0.003122679,0.00228677,0.001138501
60,0.008256277,0.007050698,inf,0.003802423,0.00260977,0.001549246
61,0.008865484,0.007151407,inf,0.004443375,0.00307268,0.0019953
62,0.008975673,0.007178591,inf,0.004997523,0.003438475,0.002455387
63,0.0066363,0.007159307,0.210426012,0.005781712,0.003592395,0.002960126
64,0.008090677,0.007981274,0.13970507,0.006567104,0.004249268,0.003400884
65,0.00941574,0.008644122,0.128471904,0.007271204,0.004869067,0.003812652
66,0.010313215,0.009112106,0.124418605,0.007804517,0.005407445,0.004208656
67,0.011187149,0.00956234,0.122651881,0.008200563,0.005970851,0.004592064
68,0.012130008,0.010124658,0.125391686,0.00877672,0.00654225,0.004960651
69,0.01306153,0.01085303,0.103224034,0.009380084,0.007123802,0.005321198
70,0.01413371,0.011412831,0.102513759,0.010005908,0.007779669,0.005661057
71,0.014929189,0.01193393,0.099465844,0.010621856,0.008316713,0.006013996
72,0.015617707,0.012307356,0.058569359,0.011236628,0.0088407,0.00633586
73,0.016468277,0.012829639,0.05512927,0.011899605,0.009439129,0.006646796
74,0.017306531,0.013544355,0.052414086,0.012642198,0.010110713,0.006950061
75,0.018522645,0.015052164,0.04583224,0.013460805,0.01088732,0.007251716
76,0.019319751,0.016559557,0.040933127,0.014234216,0.011702804,0.007576349
77,0.020332428,0.017764951,0.037187179,0.015045484,0.012301311,0.007933375
78,0.020849219,0.017258965,0.034397654,0.015744692,0.012865041,0.008200725
79,0.02250221,0.017703881,0.040244679,0.016576661,0.013494626,0.008480358
80,0.023088386,0.019077369,0.038280213,0.017241154,0.014105234,0.00875448
81,0.022837173,0.019595152,0.034580786,0.017782824,0.014461355,0.009001418
82,0.021676904,0.019017299,0.033807837,0.018079892,0.014624122,0.009220079
